,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_buffer_size,params_exploration_fraction,params_gamma,params_gradient_steps,params_learning_rate,params_learning_starts,params_max_grad_norm,params_net_arch,params_target_update_interval,params_tau,params_train_freq,user_attrs_gamma,state
12,12,-628.5136289,2025-01-18 06:58:34.359034,2025-01-18 06:58:40.487026,0 days 00:00:06.127992,tanh,9,6,0.1367398756537793,0.9827150461718646,4,1.0467508490235302e-05,3,4.2249322324284915,tiny,6,0.8342785950402236,49,0.9827150461718646,PRUNED
13,13,-355.7766097,2025-01-18 06:58:40.488015,2025-01-18 06:58:52.131518,0 days 00:00:11.643503,tanh,10,5,0.14376648537905137,0.9736920679365882,3,4.7870659227879995e-05,7,4.4491949472703975,tiny,7,0.9218464854713384,96,0.9736920679365882,COMPLETE
14,14,-588.3990454,2025-01-18 06:58:52.132493,2025-01-18 06:58:57.278939,0 days 00:00:05.146446,tanh,8,7,0.14280620199472405,0.9997464132924075,2,0.001105697236621599,5,2.9812762239618427,tiny,6,0.8224013749125442,160,0.9997464132924075,PRUNED
15,15,-538.2092887,2025-01-18 06:58:57.279701,2025-01-18 06:59:03.560710,0 days 00:00:06.281009,tanh,9,6,0.05054154603204462,0.9851423875371947,4,8.536566577974523e-05,8,3.0211837373246953,tiny,7,0.8746423354394485,105,0.9851423875371947,PRUNED
16,16,-162.873,2025-01-18 06:59:03.561573,2025-01-18 06:59:14.944024,0 days 00:00:11.382451,tanh,7,7,0.20225290001985405,0.9601446552418845,3,0.0004815900099140769,7,4.30969144262282,tiny,4,0.7561872903243669,73,0.9601446552418845,COMPLETE
17,17,-1258.0320736,2025-01-18 06:59:14.945004,2025-01-18 06:59:21.103001,0 days 00:00:06.157997,tanh,9,5,0.10860725066326433,0.9881079308927192,4,0.012908134839536983,9,4.941253977040847,tiny,6,0.8176231226906778,37,0.9881079308927192,PRUNED
18,18,-887.233775,2025-01-18 06:59:21.104051,2025-01-18 06:59:27.754440,0 days 00:00:06.650389,relu,6,5,0.2765486077962413,0.9741928739832875,3,4.3439071460246177e-05,4,3.99394413541842,small,7,0.9377794641702303,157,0.9741928739832875,PRUNED
19,19,-821.6276056999999,2025-01-18 06:59:27.755361,2025-01-18 06:59:33.290314,0 days 00:00:05.534953,tanh,10,6,0.3493105982882064,0.9369337377085573,2,4.449457059736373e-05,9,3.221651487139611,tiny,3,0.8514646506693357,116,0.9369337377085573,PRUNED
20,20,-677.1735353,2025-01-18 06:59:33.291484,2025-01-18 06:59:38.829900,0 days 00:00:05.538416,tanh,8,7,0.16730377302690694,0.9560887077408029,4,0.0007277241615410457,5,4.530522026413824,tiny,5,0.9064957112711707,81,0.9560887077408029,PRUNED
21,21,-834.9479666,2025-01-18 06:59:38.830633,2025-01-18 06:59:45.211245,0 days 00:00:06.380612,tanh,9,6,0.08317446363631435,0.9980516929186884,4,1.751262315207063e-05,3,4.982404890540063,tiny,7,0.8714610190203155,94,0.9980516929186884,PRUNED
22,22,-327.3553880999999,2025-01-18 06:59:45.211894,2025-01-18 06:59:56.282019,0 days 00:00:11.070125,tanh,9,6,0.10641469332790647,0.9953696434591134,4,1.817399169428945e-05,4,4.6786384052779715,tiny,7,0.8572972412980848,87,0.9953696434591134,COMPLETE
23,23,-646.3446989,2025-01-18 06:59:56.282945,2025-01-18 07:00:02.013219,0 days 00:00:05.730274,tanh,10,6,0.050094761625831666,0.9811146122533874,3,0.00013364251644245077,3,3.8585578118371187,tiny,6,0.8824087052632356,56,0.9811146122533874,PRUNED
24,24,-409.38714849999997,2025-01-18 07:00:02.013968,2025-01-18 07:00:08.070420,0 days 00:00:06.056452,tanh,7,7,0.09736712637833371,0.9910875978578032,4,1.1995323937920673e-05,4,4.638973743647428,tiny,7,0.8363993070283793,136,0.9910875978578032,PRUNED
25,25,-292.97244209999997,2025-01-18 07:00:08.071206,2025-01-18 07:00:18.535921,0 days 00:00:10.464715,tanh,9,5,0.2431239515733239,0.9698449067723595,3,5.1266738724715303e-05,3,4.057993041884243,tiny,6,0.8083632228661698,112,0.9698449067723595,COMPLETE
26,26,-145.4650663,2025-01-18 07:00:18.536920,2025-01-18 07:00:29.697774,0 days 00:00:11.160854,relu,8,6,0.126430843893456,0.9874501172669115,4,2.6523781569802136e-05,6,4.632898403184179,small,7,0.8647477609163261,69,0.9874501172669115,COMPLETE
27,27,-711.8396665,2025-01-18 07:00:29.698696,2025-01-18 07:00:35.482605,0 days 00:00:05.783909,relu,8,7,0.17005003203146388,0.9811839951448286,4,9.133811622744524e-05,6,3.5640345697098494,small,7,0.9154744000196414,7,0.9811839951448286,PRUNED
28,28,-440.80010380000004,2025-01-18 07:00:35.483311,2025-01-18 07:00:41.721237,0 days 00:00:06.237926,relu,7,4,0.1264414180391427,0.989709728997622,3,0.00041183367487338245,7,4.380973794820292,small,6,0.838891975278508,67,0.989709728997622,PRUNED
29,29,-567.081578,2025-01-18 07:00:41.722023,2025-01-18 07:00:46.958300,0 days 00:00:05.236277,relu,5,3,0.21573571166783947,0.9313573402334535,2,0.00645655785380754,10,3.6794200872587246,small,4,0.982518743713023,39,0.9313573402334535,PRUNED
30,30,-1266.3787639999998,2025-01-18 07:00:46.959057,2025-01-18 07:00:53.145295,0 days 00:00:06.186238,relu,10,5,0.16720610232314287,0.9112488677095708,4,2.7380360567486315e-05,5,4.602272522516186,small,7,0.9553593637270454,127,0.9112488677095708,PRUNED
31,31,-542.8199744000001,2025-01-18 07:00:53.146582,2025-01-18 07:00:58.286949,0 days 00:00:05.140367,relu,9,6,0.08802387846113695,0.998910149032914,4,1.0497306971253038e-05,4,4.780311919787662,tiny,7,0.8665687620361746,101,0.998910149032914,PRUNED
32,32,-480.01765700000004,2025-01-18 07:00:58.287804,2025-01-18 07:01:04.115267,0 days 00:00:05.827463,relu,8,6,0.07154510911160772,0.9919791711334511,4,2.7921248863667015e-05,3,4.267003250158296,small,7,0.8895341887657598,86,0.9919791711334511,PRUNED
33,33,-497.83962570000006,2025-01-18 07:01:04.115987,2025-01-18 07:01:09.436077,0 days 00:00:05.320090,tanh,9,7,0.12793503514852259,0.9032216985506094,4,7.06767545161723e-05,6,1.8678093169070693,small,7,0.8583115808054242,81,0.9032216985506094,PRUNED
34,34,-596.1476086,2025-01-18 07:01:09.437010,2025-01-18 07:01:15.291117,0 days 00:00:05.854107,tanh,6,6,0.32668507120119383,0.9856366432995305,3,2.6382673559052614e-05,5,4.729141916060833,tiny,6,0.7899089154620742,106,0.9856366432995305,PRUNED
35,35,-789.8999255000001,2025-01-18 07:01:15.291915,2025-01-18 07:01:20.761312,0 days 00:00:05.469397,relu,10,5,0.11055601103605098,0.9940033404600596,4,0.0002154485448817045,4,4.9760040915329755,small,7,0.8960037901247003,68,0.9940033404600596,PRUNED
