#{"t_start": 1736976260.7426088, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
55.0,1543,482.717248
110.0,2271,485.804371
130.0,2439,487.462373
180.0,2509,489.129323
105.0,1319,490.000524
180.0,2549,491.717757
105.0,2037,493.076115
105.0,1965,494.534622
80.0,1933,496.090276
165.0,1993,497.477347
95.0,1305,498.353747
355.0,2443,500.02607
75.0,1843,501.282627
370.0,2879,503.24398
180.0,2461,504.87801
380.0,2295,506.461281
240.0,2821,508.392591
65.0,1697,509.839244
55.0,1181,510.625783
230.0,2849,512.607494
105.0,1873,513.902772
440.0,2873,517.446948
105.0,1917,518.756562
185.0,2417,520.417168
160.0,2419,526.829332
50.0,1205,527.598969
265.0,3063,529.624189
210.0,2533,531.352271
105.0,1783,532.55912
410.0,2801,534.426582
185.0,2899,536.420463
180.0,2405,538.044482
120.0,1833,539.603569
135.0,2417,541.296665
120.0,2219,542.842067
250.0,2913,545.716506
425.0,3495,552.745095
215.0,2495,555.151021
210.0,2563,557.15041
155.0,2515,558.94715
105.0,2099,560.45733
245.0,3017,562.517292
50.0,1229,563.352002
110.0,1119,564.177905
130.0,1937,565.549323
180.0,2273,567.088091
355.0,2505,568.812099
260.0,2881,571.081147
80.0,1269,571.954178
135.0,2351,573.572943
210.0,2435,575.294284
260.0,3471,577.70228
155.0,2411,580.976298
410.0,2773,582.88147
75.0,1161,583.670713
120.0,2393,585.644742
210.0,2561,587.441837
155.0,2293,589.062191
140.0,2363,590.7259
180.0,2435,592.377665
50.0,1239,593.195943
155.0,2457,594.880511
180.0,2383,596.53416
210.0,2593,598.307082
180.0,2421,600.267614
105.0,1949,601.635753
180.0,2527,603.42352
120.0,2243,609.961655
105.0,2091,612.855657
210.0,2459,614.438491
285.0,4093,617.662252
105.0,1897,618.929169
155.0,2481,620.609488
460.0,2925,622.603066
210.0,2437,624.278314
75.0,1907,625.606499
120.0,2029,627.022231
480.0,3011,629.317303
225.0,2799,631.373154
195.0,2639,633.185405
460.0,2961,635.258126
45.0,1955,636.639378
80.0,1175,637.463653
210.0,2489,639.26168
215.0,2747,641.128105
210.0,2401,644.350419
135.0,2379,646.274204
210.0,2527,648.077352
