,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_target_kl,params_vf_coef,state
10,10,-inf,2025-02-02 22:16:50.312160,2025-02-02 22:16:50.333987,0 days 00:00:00.021827,relu,89,0.1600996874634646,0.0002727210207713175,0.8808572982239797,0.9787873772935266,0.00021342162672585303,1.1575851820915797,1,150,tiny,0.15104564435368262,0.6842239231368551,COMPLETE
11,11,-inf,2025-02-02 22:16:50.334710,2025-02-02 22:16:50.356226,0 days 00:00:00.021516,tanh,118,0.1446703442874563,0.00244791034943408,0.8150465295259698,0.9986536028833422,1.1638060512329965e-05,2.581741262173655,7,250,small,0.05753834483000208,0.8620353919327421,COMPLETE
12,12,-inf,2025-02-02 22:16:50.357138,2025-02-02 22:16:50.379178,0 days 00:00:00.022040,tanh,15,0.15921147236695446,0.0019668289161476815,0.8018837431845979,0.9992022877770349,3.9400910720701e-05,2.9813971017241245,7,201,small,0.0683219237841922,0.8682681707400667,COMPLETE
13,13,-inf,2025-02-02 22:16:50.380033,2025-02-02 22:16:50.401295,0 days 00:00:00.021262,tanh,139,0.11287952655327091,0.00803828415257151,0.9357629102093579,0.981347502050823,2.370284412844676e-05,2.4064374924938137,5,90,small,0.10106086416335579,0.738550023074859,COMPLETE
14,14,-inf,2025-02-02 22:16:50.402069,2025-02-02 22:16:50.424023,0 days 00:00:00.021954,tanh,217,0.22537263823992304,0.0007576051260893315,0.848645145402987,0.9666572601681567,6.548759367293775e-05,4.200502732340463,6,203,small,0.02027839342920445,0.6131419879010546,COMPLETE
15,15,-inf,2025-02-02 22:16:50.424866,2025-02-02 22:16:50.447589,0 days 00:00:00.022723,tanh,164,0.18128333167288735,0.003394933427713623,0.8985628874863135,0.9878213294377498,0.00011315530651912177,1.8570812493209965,3,71,small,0.09679492969191833,0.7720048222445219,COMPLETE
16,16,-inf,2025-02-02 22:16:50.448384,2025-02-02 22:16:50.469778,0 days 00:00:00.021394,tanh,112,0.1339034582880238,0.001152364223702098,0.8635630357055244,0.9487905395563364,0.00022422320582591063,2.9107112412614526,8,129,small,0.042406614629173,0.8807008666917078,COMPLETE
17,17,-inf,2025-02-02 22:16:50.470668,2025-02-02 22:16:50.493801,0 days 00:00:00.023133,tanh,225,0.2992325887126616,0.0003795207481325568,0.950045825776838,0.9723384417739975,2.0771630909961994e-05,4.068991851626096,4,13,small,0.0778671213357934,0.7036325125778681,COMPLETE
18,18,-inf,2025-02-02 22:16:50.494586,2025-02-02 22:16:50.517244,0 days 00:00:00.022658,relu,62,0.21654473288905937,0.004558464946480905,0.9171618759803046,0.9901255827099026,7.621215679525474e-05,1.5161220491007894,6,165,tiny,0.1163794716311155,0.8235902629005037,COMPLETE
19,19,-inf,2025-02-02 22:16:50.517971,2025-02-02 22:16:50.539203,0 days 00:00:00.021232,tanh,179,0.2553663558330604,0.0012856840001044022,0.8253437276250694,0.9503980858551483,0.00042051701447575726,3.1799743771576026,2,221,small,0.1613391200763493,0.9445290354636156,COMPLETE
20,20,-inf,2025-02-02 22:16:50.539927,2025-02-02 22:16:50.561488,0 days 00:00:00.021561,tanh,108,0.1741843987280595,0.00927082270388559,0.8707149430908833,0.9872218380728774,1.0416421182439833e-05,2.4888303276412325,4,128,small,0.010328609732759148,0.6261410407631136,COMPLETE
